description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Czech Republic,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Czech Republic : coke,$/short ton,COAL.IMPORT_PRICE.COK-CZ-TOT.A,--,--,--,--,--,--,--,--,--,--,--,--
Dominican Republic,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Dominican Republic : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-DO-TOT.A,161.02,91.8,98.9,89.07,--,--,--,--,--,--,--,--
Dominican Republic : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-DO-TOT.A,161.02,91.8,98.9,89.07,--,--,--,--,--,--,--,--
Ecuador,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Ecuador : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-EC-TOT.A,--,--,36.47,--,--,--,--,--,--,--,--,--
Ecuador : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-EC-TOT.A,--,--,36.47,--,--,--,--,--,--,--,--,--
Egypt,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Egypt : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-EG-TOT.A,--,--,--,452.57,--,--,--,--,666.67,40.63,58.98,71.41
Egypt : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-EG-TOT.A,--,--,--,452.57,--,--,--,--,666.67,40.63,58.98,71.41
Egypt : coke,$/short ton,COAL.IMPORT_PRICE.COK-EG-TOT.A,--,82.85,112.85,339.16,331.61,--,236.78,557.04,--,363.22,--,777.14
France,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
France : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-FR-TOT.A,--,--,--,--,--,--,--,59.54,--,--,59.01,--
France : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-FR-TOT.A,--,--,--,--,--,--,--,59.54,--,--,59.01,--
France : coke,$/short ton,COAL.IMPORT_PRICE.COK-FR-TOT.A,--,--,--,--,--,--,218.02,--,--,--,--,--
"Germany, Federal Republic Of",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Germany, Federal Republic Of : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-DE-TOT.A,--,--,--,--,74.85,--,164.84,213.38,5280,--,69.62,--
"Germany, Federal Republic Of : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-DE-TOT.A,--,--,--,--,74.85,--,164.84,213.38,5280,--,69.62,--
"Germany, Federal Republic Of : coke",$/short ton,COAL.IMPORT_PRICE.COK-DE-TOT.A,258.33,390.4,509.53,532.25,--,428.25,--,956,227.01,2091,--,--
Hong Kong,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Hong Kong : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-HK-TOT.A,--,--,--,--,--,--,--,--,197.23,--,--,--
Hong Kong : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-HK-TOT.A,--,--,--,--,--,--,--,--,197.23,--,--,--
India,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
India : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-IN-TOT.A,73.31,58.97,19.7,74.82,--,--,58.88,--,59.12,61.44,58.63,64.36
India : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-IN-TOT.A,73.31,58.97,19.7,74.82,--,--,58.88,--,59.12,61.44,58.63,64.36
India : coke,$/short ton,COAL.IMPORT_PRICE.COK-IN-TOT.A,--,--,--,--,208.25,245.32,--,--,548.24,379.1,--,--
Indonesia,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Indonesia : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-ID-TOT.A,42.51,35.35,28.36,20.81,20.83,22.81,26.1,37.68,51.74,44.58,47.13,53.54
Indonesia : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-ID-TOT.A,42.51,35.35,28.36,20.81,20.83,22.81,26.1,37.68,51.74,44.58,47.13,53.54
Indonesia : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-ID-TOT.A,--,--,--,--,--,--,--,--,--,--,--,--
Indonesia : coke,$/short ton,COAL.IMPORT_PRICE.COK-ID-TOT.A,--,--,--,--,--,--,315.63,--,--,--,523.79,507.81
Israel,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Israel : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-IL-TOT.A,--,--,--,--,38.57,--,--,--,--,--,--,--
Israel : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-IL-TOT.A,--,--,--,--,38.57,--,--,--,--,--,--,--
Italy,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Italy : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-IT-TOT.A,--,33.52,--,50.41,62.18,--,--,--,653.78,1159.25,1097.5,689
Italy : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-IT-TOT.A,--,33.52,--,50.41,62.18,--,--,--,653.78,1159.25,1097.5,689
Italy : coke,$/short ton,COAL.IMPORT_PRICE.COK-IT-TOT.A,--,--,--,--,--,--,--,--,--,308.56,--,--
Japan,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Japan : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-JP-TOT.A,74.99,--,--,74.89,--,74.89,--,--,--,--,120.73,296.87
Japan : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-JP-TOT.A,74.99,--,--,74.89,--,74.89,--,--,--,--,120.73,296.87
Japan : coke,$/short ton,COAL.IMPORT_PRICE.COK-JP-TOT.A,73.3,78.79,78.78,123.51,222.74,170.11,160.53,332.38,398.19,419.92,419.62,359.45
Latvia,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Latvia : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-LV-TOT.A,--,--,--,46.76,50.01,--,--,--,--,--,--,--
Latvia : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-LV-TOT.A,--,--,--,46.76,50.01,--,--,--,--,--,--,--
Libya,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Libya : coke,$/short ton,COAL.IMPORT_PRICE.COK-LY-TOT.A,--,--,--,240.4,--,--,--,--,--,--,--,--
Malta,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Malta : coke,$/short ton,COAL.IMPORT_PRICE.COK-MT-TOT.A,--,--,--,326.58,111.12,--,--,--,--,--,--,--
Mexico,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Mexico : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-MX-TOT.A,30.97,28.3,--,100.2,81.52,--,--,--,970.67,--,109.99,318.49
Mexico : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-MX-TOT.A,31.72,28,--,100.2,81.52,--,--,--,--,--,109.99,318.49
Mexico : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-MX-TOT.A,29.67,29.34,--,--,--,--,--,--,970.67,--,--,--
Mexico : coke,$/short ton,COAL.IMPORT_PRICE.COK-MX-TOT.A,--,--,--,--,220.58,--,833.33,--,--,287.47,216.64,--
Mongolia,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Mongolia : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-MN-TOT.A,--,--,--,--,38.64,--,--,--,--,--,--,--
Mongolia : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-MN-TOT.A,--,--,--,--,38.64,--,--,--,--,--,--,--
Netherlands,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Netherlands : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-NL-TOT.A,589.58,--,75,--,--,72.77,--,--,--,--,--,--
Netherlands : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-NL-TOT.A,589.58,--,75,--,--,72.77,--,--,--,--,--,--
Netherlands : coke,$/short ton,COAL.IMPORT_PRICE.COK-NL-TOT.A,87.54,101.35,--,--,--,--,--,516.01,236.74,--,--,--
New Zealand,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
New Zealand : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-NZ-TOT.A,38.47,--,23.62,--,57.23,--,57.23,--,--,22.56,--,113.64
New Zealand : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-NZ-TOT.A,38.47,--,23.62,--,57.23,--,--,--,--,22.56,--,--
New Zealand : metallurgical,$/short ton,COAL.IMPORT_PRICE.MET-NZ-TOT.A,--,--,--,--,--,--,57.23,--,--,--,--,113.64
New Zealand : coke,$/short ton,COAL.IMPORT_PRICE.COK-NZ-TOT.A,--,--,--,--,--,--,--,--,--,--,--,671.17
Norway,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Norway : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-NO-TOT.A,63.5,--,--,--,--,65.5,65.5,--,--,--,--,--
