description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Charleston, SC : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-CH_SC.A,29.93,--,30.66,59.38,64.96,39.27,47.65,78.55,88.07,75.18,2620,--
"Charleston, SC : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-CH_SC.A,29.93,--,30.66,59.38,64.96,39.27,47.65,78.55,88.07,75.18,2620,--
"Charleston, SC : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-CH_SC.A,--,--,--,--,--,--,--,--,--,--,--,--
"Charleston, SC : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-CH_SC.A,258.33,--,--,266.37,309.52,298.13,--,--,--,--,--,199.68
"Charlotte, NC",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Charlotte, NC : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-CH_NC.A,--,33.07,32.16,41.3,44.98,59.66,54.37,53.89,--,--,--,--
"Charlotte, NC : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-CH_NC.A,--,33.07,32.16,41.3,44.98,59.66,54.37,53.89,--,--,--,--
"Charlotte, NC : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-CH_NC.A,--,--,--,--,--,--,--,773.33,669.67,--,--,--
"Chicago, IL",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Chicago, IL : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-CH_IL.A,--,--,--,53.75,--,--,--,207.11,244.01,262.42,257.55,163.85
"Chicago, IL : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-CH_IL.A,--,--,--,53.75,--,--,--,207.11,244.01,262.42,161.85,163.85
"Chicago, IL : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-CH_IL.A,--,--,--,--,--,--,--,--,--,--,258.22,--
"Chicago, IL : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-CH_IL.A,87.54,--,--,--,--,245.32,276.35,592.6,302.88,159.58,366.4,--
"Cleveland, OH",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Cleveland, OH : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-CL_OH.A,--,--,52.69,59.77,115.68,--,--,74.65,--,170.42,434.06,296.87
"Cleveland, OH : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-CL_OH.A,--,--,--,98.71,--,--,--,74.65,--,--,434.06,296.87
"Cleveland, OH : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-CL_OH.A,--,--,52.69,56.01,115.68,--,--,--,--,170.42,--,--
"Cleveland, OH : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-CL_OH.A,53.61,40.57,46.07,188.49,145.11,162.68,234.47,554.1,97.18,--,151.58,--
"Columbia-Snake, OR",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Columbia-Snake, OR : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-CO_OR.A,58.79,65.32,--,--,--,--,--,--,--,--,--,--
"Columbia-Snake, OR : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-CO_OR.A,58.79,65.32,--,--,--,--,--,--,--,--,--,--
"Columbia-Snake, OR : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-CO_OR.A,--,--,--,136.07,188.1,221.85,225.83,272.15,255.11,287.7,494.41,--
"Detroit, MI",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Detroit, MI : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-DE_MI.A,43.14,43.81,45.47,55.16,89.57,103.91,87.33,66.59,117.8,223.47,336.5,221.72
"Detroit, MI : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-DE_MI.A,114.01,46.35,45.26,55.23,102.22,120.07,76.2,95,100.37,74.93,102.23,385.92
"Detroit, MI : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-DE_MI.A,43.07,43.64,46.05,54.68,82.91,102.88,87.37,66.45,117.82,223.66,337.28,221.69
"Detroit, MI : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-DE_MI.A,75.29,87.78,93.86,279.34,263.38,181.02,229.3,478.02,196.37,168.29,202.58,365
"Duluth, MN",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Duluth, MN : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-DU_MN.A,54.63,71.19,81.52,95.02,80,62.49,--,--,--,--,261.16,227.54
"Duluth, MN : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-DU_MN.A,109.85,71.19,81.52,95.02,80,62.49,--,--,--,--,104.87,--
"Duluth, MN : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-DU_MN.A,28.31,--,--,--,--,--,--,--,--,--,261.94,227.54
"El Paso, TX",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"El Paso, TX : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-EP_TX.A,--,--,--,100.2,81.52,--,--,--,--,--,--,--
"El Paso, TX : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-EP_TX.A,--,--,--,100.2,81.52,--,--,--,--,--,--,--
"Great Falls, MT",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Great Falls, MT : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-GF_MT.A,44.32,52.54,51.39,60.9,47.29,65.14,82.64,86.07,89.29,167.05,141.86,137.31
"Great Falls, MT : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-GF_MT.A,222.76,76.83,55.61,54.16,59.42,65.14,82.64,84.86,89.29,94.72,113.68,137.31
"Great Falls, MT : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-GF_MT.A,44.13,41.9,50.97,61.26,30.71,--,--,179.93,--,169.28,182.18,--
"Great Falls, MT : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-GF_MT.A,267.48,92.25,49.97,--,2000,--,2621,410.42,1082.18,358.75,695.94,341.42
"Honolulu, HI",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Honolulu, HI : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-HO_HI.A,45.86,46.02,39.11,20.91,20.19,20.04,26.83,56.6,54.43,58.05,49.1,52.4
"Honolulu, HI : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-HO_HI.A,45.86,46.02,39.11,20.91,20.19,20.04,26.83,56.6,54.43,58.05,49.1,52.4
"Houston-Galveston, TX",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Houston-Galveston, TX : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-HG_TX.A,34.98,29.12,30.99,--,53.2,57.97,48.37,56.71,65.84,57.03,60.41,62.49
"Houston-Galveston, TX : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-HG_TX.A,34.98,29.12,30.99,--,53.2,57.97,48.37,56.71,65.84,57.03,60.41,62.32
"Houston-Galveston, TX : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-HG_TX.A,--,--,--,--,--,--,--,--,--,--,--,74.64
"Houston-Galveston, TX : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-HG_TX.A,--,--,--,--,--,--,3831,1021,--,539.81,811.94,555.38
"Laredo, TX",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Laredo, TX : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-LA_TX.A,30.97,29.39,--,--,--,--,--,--,970.67,--,61.93,496
"Laredo, TX : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-LA_TX.A,31.72,29.48,--,--,--,--,--,--,--,--,61.93,496
"Laredo, TX : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-LA_TX.A,29.67,29.34,--,--,--,--,--,--,970.67,--,--,--
"Laredo, TX : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-LA_TX.A,--,--,--,--,220.58,--,651.92,--,126.56,287.47,199.3,--
"Los Angeles, CA",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Los Angeles, CA : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-LA_CA.A,1224,--,32.35,87.29,74.92,72.59,--,460.53,--,52.77,476.48,--
"Los Angeles, CA : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-LA_CA.A,1224,--,32.35,87.29,74.92,72.59,--,460.53,--,52.77,476.48,--
"Los Angeles, CA : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-LA_CA.A,--,--,--,615.1,565.64,604.93,542.95,1141.26,508.48,2632.43,5400,647.53
"Miami, FL",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Miami, FL : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-MI_FL.A,453.75,38.16,31.92,49.92,--,--,--,--,653.78,389.96,1097.5,391.39
"Miami, FL : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-MI_FL.A,453.75,38.16,31.92,49.92,--,--,--,--,653.78,389.96,1097.5,391.39
"Milwaukee, WI",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Milwaukee, WI : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-MI_WI.A,--,--,--,--,--,--,--,--,--,--,--,--
"Minneapolis, MN",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Minneapolis, MN : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-MI_MN.A,--,--,--,--,--,--,--,--,--,--,66.71,124.59
"Minneapolis, MN : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-MI_MN.A,--,--,--,--,--,--,--,--,--,--,66.71,--
"Minneapolis, MN : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-MI_MN.A,--,--,--,--,--,--,--,--,--,--,--,124.59
"Mobile, AL",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Mobile, AL : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-MO_AL.A,27.76,29.33,26.38,31.21,40.36,45.82,46.56,65.46,69.07,80.21,88.07,95.81
"Mobile, AL : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-MO_AL.A,27.76,28.09,26.38,31.21,40.36,45.82,46.56,65.46,69.07,80.21,88.07,95.81
"Mobile, AL : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-MO_AL.A,--,39.83,--,--,--,--,--,--,--,--,--,--
"Mobile, AL : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-MO_AL.A,73.3,72.07,88.31,182.29,206.74,138.96,163.96,374.58,270.47,365.35,393.81,339.36
"New Orleans, LA",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"New Orleans, LA : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-NO_LA.A,34.99,44.08,37.82,50.07,48.68,56.69,53.73,61.35,68.2,192.57,166.1,155.9
"New Orleans, LA : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-NO_LA.A,34.76,44.08,37.58,50.82,48.68,56.69,53.65,61.35,68.2,192.57,166.1,155.9
"New Orleans, LA : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-NO_LA.A,37.78,--,41.2,38.47,--,--,57.23,--,--,--,--,--
"New Orleans, LA : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-NO_LA.A,67.08,64.05,75.44,218.82,232.15,153.11,175.7,480.62,320.07,330.21,377.66,325.71
"New York City, NY",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"New York City, NY : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-NY_NY.A,33.43,41.59,37.51,47.92,58.9,58.17,55.07,72.15,85.87,77.33,82.86,112.83
"New York City, NY : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-NY_NY.A,33.43,41.59,37.51,47.92,58.9,58.17,55.07,72.15,85.87,77.33,82.86,110.58
"New York City, NY : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-NY_NY.A,--,--,--,--,--,--,--,--,--,--,75,1239
"New York City, NY : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-NY_NY.A,--,390.4,509.53,--,--,308.33,240.92,--,--,550.4,523.79,571.25
"Nogales, AZ",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Nogales, AZ : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-NO_AZ.A,--,--,--,--,--,--,--,--,--,--,140.61,--
"Nogales, AZ : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-NO_AZ.A,--,--,--,--,--,--,--,--,--,--,140.61,--
"Norfolk, VA",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Norfolk, VA : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-NO_VA.A,--,--,--,--,--,--,48.42,48.11,52.05,68.19,70.85,70.28
"Norfolk, VA : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-NO_VA.A,--,--,--,--,--,--,48.42,48.11,52.05,68.19,70.83,70.28
"Norfolk, VA : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-NO_VA.A,--,--,--,--,--,--,--,--,--,--,163.37,--
"Norfolk, VA : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-NO_VA.A,--,--,--,--,--,--,--,1093,--,--,--,--
"Ogdensburg, NY",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Ogdensburg, NY : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-OG_NY.A,250,--,271.99,270.52,--,--,--,--,--,--,422.45,498
"Ogdensburg, NY : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-OG_NY.A,250,--,271.99,270.52,--,--,--,--,--,--,422.45,498
"Ogdensburg, NY : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-OG_NY.A,--,--,--,--,--,161.27,--,--,--,--,195.03,--
"Pembina, ND",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Pembina, ND : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-PE_ND.A,48.01,49.23,51,54.56,104.18,110.28,98.4,110.07,102.31,146.47,232.12,172.41
"Pembina, ND : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-PE_ND.A,65.17,62.53,69.59,58.54,58.7,76.7,74.56,86.91,82.41,94.12,103.03,121.83
"Pembina, ND : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-PE_ND.A,47.15,48.19,49.6,54.24,108.96,114.84,101.11,112.55,106.32,162.07,248.41,180.74
"Pembina, ND : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-PE_ND.A,366.47,123.04,131.77,71.78,106.68,--,778.88,2858,3735.43,713.6,929,--
"Philadelphia, PA",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Philadelphia, PA : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-PH_PA.A,40.59,40.29,38.32,39.93,58.11,56.16,51.82,74.58,80.47,56.65,--,--
"Philadelphia, PA : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-PH_PA.A,40.59,40.29,38.32,39.93,58.11,56.16,51.82,74.58,80.47,56.65,--,--
"Philadelphia, PA : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-PH_PA.A,75.37,77.65,--,281.59,--,1147.75,--,530.32,--,254.44,--,--
"Portland, ME",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Portland, ME : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-PO_ME.A,34.71,32.9,31.01,38.25,45.16,49.7,53.21,68.56,84.35,68.99,73.44,88.9
"Portland, ME : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-PO_ME.A,34.71,32.9,31.01,38.25,45.16,49.7,53.21,68.56,84.35,68.99,73.44,88.9
"Providence, RI",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Providence, RI : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-PR_RI.A,--,30.05,31.44,34.93,53.62,52.9,47.26,48.97,66.15,69.15,66.5,51.36
"Providence, RI : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-PR_RI.A,--,30.05,31.44,34.93,53.62,52.9,47.26,48.97,66.15,69.15,66.5,51.36
"Providence, RI : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-PR_RI.A,--,--,--,--,--,--,--,--,--,--,--,--
"San Diego, CA",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"San Diego, CA : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-SD_CA.A,--,--,--,50.31,--,--,--,--,--,--,--,196.33
"San Diego, CA : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-SD_CA.A,--,--,--,50.31,--,--,--,--,--,--,--,196.33
"San Francisco, CA",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"San Francisco, CA : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-SF_CA.A,--,--,47.56,57.77,44.24,--,--,--,457.32,360.8,392.04,392.03
"San Francisco, CA : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-SF_CA.A,--,--,47.56,57.77,44.24,--,--,--,457.32,360.8,392.04,392.03
"San Francisco, CA : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-SF_CA.A,71.21,85.87,--,557.51,219.54,130.35,1132.44,--,--,--,--,--
"San Juan, PR",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"San Juan, PR : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-SJ_PR.A,33.09,34.85,33.37,36.27,35.07,37.56,43.55,44.82,39.82,33.82,90.28,91.61
"San Juan, PR : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-SJ_PR.A,33.09,34.85,33.37,36.27,35.07,37.56,43.55,44.82,39.82,33.82,90.28,91.61
"San Juan, PR : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-SJ_PR.A,--,--,--,--,--,--,--,--,--,--,--,--
"San Juan, PR : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-SJ_PR.A,--,--,--,--,--,--,--,--,--,--,287.67,70.53
"Savannah, GA",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Savannah, GA : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-SA_GA.A,30.14,33.75,30.5,32.76,43.27,57.52,48.95,99.7,568.72,618.39,895.13,113.64
"Savannah, GA : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-SA_GA.A,30.14,33.75,30.5,32.76,43.27,57.52,48.95,99.7,568.72,618.39,895.13,--
"Savannah, GA : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-SA_GA.A,--,--,--,--,--,--,--,--,--,--,--,113.64
"Savannah, GA : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-SA_GA.A,--,--,--,262.5,--,--,--,--,307.18,2091,--,81.65
"Seattle, WA",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Seattle, WA : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-SE_WA.A,27.14,26.51,27.38,27.23,27.22,34.1,41.93,53.14,70.44,68.14,95.95,109.11
"Seattle, WA : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-SE_WA.A,27.14,26.51,27.38,27.23,27.22,34.1,41.93,53.14,70.44,68.14,95.95,109.11
"Seattle, WA : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-SE_WA.A,365.94,448.68,--,189.11,--,--,--,--,--,--,286.46,--
"St. Albans, VT",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"St. Albans, VT : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-SA_VT.A,--,--,--,3984,--,--,--,--,--,--,--,310.4
"St. Albans, VT : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-SA_VT.A,--,--,--,3984,--,--,--,--,--,--,--,310.4
"St. Albans, VT : coke",$/short ton,COAL.IMPORT_PRICE.COK-TOT-SA_VT.A,--,--,--,--,--,--,--,--,--,1220.56,--,--
"Tampa, FL",,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
"Tampa, FL : all coal",$/short ton,COAL.IMPORT_PRICE.TOT-TOT-TA_FL.A,32.98,31.5,30.28,36.74,36.13,41.65,40.28,43.9,51.96,49.39,90.7,70.11
"Tampa, FL : steam coal",$/short ton,COAL.IMPORT_PRICE.STM-TOT-TA_FL.A,32.98,31.5,30.28,36.74,36.13,41.65,40.28,43.9,51.96,49.39,90.7,70.11
"Tampa, FL : metallurgical",$/short ton,COAL.IMPORT_PRICE.MET-TOT-TA_FL.A,--,--,--,--,--,--,--,--,--,--,--,--
Virgin Islands Of The United States,,COAL.IMPORT_PRICE..A,,,,,,,,,,,,
Virgin Islands Of The United States : all coal,$/short ton,COAL.IMPORT_PRICE.TOT-TOT-VI.A,--,--,--,--,--,--,--,--,--,--,--,--
Virgin Islands Of The United States : steam coal,$/short ton,COAL.IMPORT_PRICE.STM-TOT-VI.A,--,--,--,--,--,--,--,--,--,--,--,-- 
